Map name,Tier,Type,Stages/Cps,Bonuses
surf_kitsune2,3,Staged-Linear,12,4
surf_krow10,3,Linear,4,1
surf_leesriize_ksf,3,Staged,3,4
surf_liberation,3,Staged,7,1
surf_liberation2,3,Staged,7,2
surf_life_of_cow,3,Staged,5,2
surf_lighthouse,3,Staged,4,0
surf_like_this,3,Linear,6,4
surf_lithium,3,Staged,5,1
surf_lolrevlis2,3,Linear,3,1
surf_lost,3,Staged,4,4
surf_lost2,3,Staged,4,4
surf_low_production,3,Staged,3,2
surf_luminaris_refix,3,Staged,3,6
surf_marbleblast_intermediate,3,Linear,5,1
surf_mash-up,3,Staged,20,0
surf_masonry,3,Staged,2,0
surf_meme,3,Staged,9,2
surf_mesa_aether,3,Linear,7,0
surf_methadone,3,Staged,5,1
surf_midsommar,3,Staged,3,4
surf_milkyway,3,Linear,4,0
surf_minigolf_ksf,3,Staged,7,2
surf_minimumwage,3,Staged-Linear,6,1
surf_missing_no,3,Linear,5,0
surf_morbid,3,Staged,6,0
surf_mushroom_ksf,3,Linear,5,1
surf_mynah_final,3,Staged,4,0
surf_nac,3,Staged,4,2
surf_network_2013,3,Linear,4,0
surf_networked,3,Linear,4,0
surf_not_quite_goliath,3,Linear,3,0
surf_not_so_generated,3,Staged,10,3
surf_ny_advance,3,Staged,10,0
surf_ny_momentum2_ksf,3,Linear,8,1
surf_oasis,3,Staged,10,2
surf_ofrenda,3,Linear,4,6
surf_ofsfice,3,Linear,3,1
surf_olympics,3,Staged,7,0
surf_omnibus,3,Staged,11,0
surf_oompa_loompa,3,Linear,4,0
surf_oompa2,3,Linear,4,1
surf_ori_l,3,Linear,7,0
surf_outside,3,Staged,10,5
surf_pagoda,3,Linear,3,3
surf_palette_fix,3,Staged,9,0
surf_pandemonium_njv,3,Staged,5,2
surf_pandora,3,Linear,4,0
surf_paranoid_enigma,3,Staged,5,0
surf_parc_colore,3,Staged,6,4
surf_parrot_selector,3,Linear,5,0
surf_pavilion,3,Staged,5,0
surf_perforated_restored,3,Staged,5,0
surf_petrus,3,Linear,4,0
surf_placid,3,Linear,4,1
surf_plaguelands_beta7a,3,Staged,6,1
surf_plethora_fix,3,Linear,3,0
surf_porn_fix,3,Linear,5,0
